Model_Name,Video_ID,Subject Consistency,Aesthetic Quality,Image Quality,Background Consistency,Dynamic Degree,Interaction Quality,Perspectivity,Instruction Following,Semantic Alignment,Action Following,Flow Score,Depth Accuracy,Trajectory Accuracy,Photometric Consistency,Motion Smoothness,JEPA Similarity
ExpertPool_fresh40_p0_seed1,hanging_mug_episode000007,0.8155694279819727,0.3386901021003723,0.4314314408949864,0.864324951171875,0.6085913553842112,0.8,0.8,0.6,0.770996,,0.9083717081386441,0.9963269027372659,0.47177754932197585,0.016966990188668776,0.8984447899009758,0.8772410750389099
ExpertPool_fresh40_p0_seed1,place_bread_basket_episode000013,0.7951835185289383,0.403009295463562,0.485644263514766,0.8979583740234375,0.43046354797778064,0.8,0.8,0.2,0.905762,,0.6781472978557934,0.9766699423559049,1.0,0.04662559380112448,0.8168446297848708,0.8772410750389099
ExpertPool_fresh40_p0_seed1,place_can_basket_episode000042,0.8809705715626478,0.46758660674095154,0.6301464382218726,0.93099365234375,0.37170587615468864,0.8,1.0,0.6,0.916504,,0.22087103745847403,1.0,0.5610956087531208,0.09795522144905433,0.7588154776708118,0.8772410750389099
ExpertPool_fresh40_p0_seed1,stamp_seal_episode000003,0.8264696031808854,0.3752853572368622,0.4090713948379328,0.91981201171875,0.31456809761026927,0.8,1.0,0.2,0.864746,,0.11099783507007184,1.0,1.0,0.17234332270289884,0.6718762609188685,0.8772410750389099
ExpertPool_fresh40_p0_seed1,turn_switch_episode000037,0.8392463997006416,0.4196723699569702,0.32247292294914337,0.944378662109375,0.19383038967499694,0.4,0.8,0.2,0.984863,,0.08430381973981207,1.0,0.33551182258775153,0.4769461136917567,0.6877131063572572,0.8472362160682678
ExpertPool_fresh40_p0_seed1,place_dual_shoes_episode000037,0.8219193156808615,0.5121811032295227,0.6527968884691779,0.911309814453125,0.4668011134425701,0.8,1.0,0.8,0.897949,,0.5037133743393618,1.0,1.0,0.05690437486934008,0.8197493037196237,0.8472362160682678
ExpertPool_fresh40_p0_seed1,place_shoe_episode000043,0.8379925217479467,0.4678061306476593,0.6690915552775065,0.8883880615234375,0.3209621342356431,0.8,1.0,1.0,0.82959,,0.1478225380582864,0.9837323233312442,0.9303862534880305,0.3055116877550713,0.7518741190243332,0.8472362160682678
ExpertPool_fresh40_p0_seed1,move_playingcard_away_episode000040,0.8087770409882069,0.35710445046424866,0.4376676507643712,0.867694091796875,0.3474426029119302,0.6,0.8,0.4,0.945801,,0.23027837433416082,0.998357337267676,0.824962060018603,0.14334723000311828,0.8039404511849206,0.8472362160682678
ExpertPool_fresh40_p0_seed1,place_bread_skillet_episode000027,0.802581823989749,0.42618268728256226,0.503233238502785,0.8948638916015625,0.3899809106322858,0.8,1.0,0.6,0.852051,,0.2432289771761989,1.0,0.5254565036471337,0.12141477504919519,0.7639107613443924,0.8472362160682678
ExpertPool_fresh40_p0_seed1,shake_bottle_episode000028,0.8188030231744051,0.2943793535232544,0.2982652939690484,0.9312744140625,0.3256986600945626,0.6,0.8,0.6,0.915039,,0.07474322350420555,0.9920306209772678,0.8914426983893865,0.1834321396012963,0.591236950545819,0.8472362160682678
