Model_Name,Video_ID,Subject Consistency,Aesthetic Quality,Image Quality,Background Consistency,Dynamic Degree,Interaction Quality,Perspectivity,Instruction Following,Semantic Alignment,Action Following,Flow Score,Depth Accuracy,Trajectory Accuracy,Photometric Consistency,Motion Smoothness,JEPA Similarity
FlowWAMAdaptiveSeed1Train200,click_alarmclock_episode000023,0.8952624920755625,0.48538461327552795,0.6789287326954029,0.931298828125,0.2752367477542297,0.6,0.8,0.6,0.96582,,0.07713715312786094,1.0,0.3274342781612572,0.39905052999003127,0.6635748283010648,0.9723806381225586
FlowWAMAdaptiveSeed1Train200,click_alarmclock_episode000028,0.00998791326396704,0.3981153666973114,0.4737776433685679,0.010018725776174166,0.008682863092276887,0.2,0.8,0.2,0.936523,,0.002841895823496712,1.0,0.0,0.04097515226529715,0.3393825494630269,0.9723806381225586
FlowWAMAdaptiveSeed1Train200,click_alarmclock_episode000035,0.9059366215020418,0.3964533805847168,0.5817608797991717,0.94375,0.1944153670514976,0.6,1.0,0.8,0.970215,,0.05423545944452627,1.0,1.0,0.7325110372208536,0.5880723963388271,0.9723806381225586
FlowWAMAdaptiveSeed1Train200,click_alarmclock_episode000044,0.9243971191346645,0.35382184386253357,0.43872593396975673,0.944708251953125,0.14712268203392037,0.4,0.8,0.4,0.919434,,0.03676748333055131,0.9959149305137044,1.0,1.0,0.5389258910879243,0.9723806381225586
FlowWAMAdaptiveSeed1Train200,click_alarmclock_episode000048,0.934908464550972,0.4965970516204834,0.6269192660296404,0.9362762451171875,0.14688025021989487,0.4,0.8,0.4,0.921387,,0.03726942350536006,0.9990930019526071,0.32770352964214033,1.0,0.5504365522457001,0.9723806381225586
FlowWAMAdaptiveSeed1Train200,click_bell_episode000019,0.8531867653131485,0.4123196005821228,0.5135576483644085,0.91475830078125,0.18992651245303377,0.8,1.0,0.6,0.974121,,0.086400787385033,1.0,0.6306114456356783,0.44265391950234984,0.6580810721319417,0.9723806381225586
FlowWAMAdaptiveSeed1Train200,click_bell_episode000023,0.06510123578930926,0.38946670293807983,0.36096498795497567,0.0689130602120067,0.06077145332237446,0.8,1.0,1.0,0.969727,,0.02203697680333678,1.0,1.0,0.7433262525000417,0.4968098586880421,0.9723806381225586
FlowWAMAdaptiveSeed1Train200,click_bell_episode000027,0.8745593890547753,0.39236658811569214,0.5257945256174347,0.9228668212890625,0.1749510719095014,0.8,1.0,1.0,0.925293,,0.06081160102150433,1.0,0.34606158515690016,0.44556452115791145,0.617792428429357,0.9723806381225586
FlowWAMAdaptiveSeed1Train200,click_bell_episode000036,0.09736637707324056,0.31765908002853394,0.3589868003939405,0.10485192813703006,0.07155213142133163,0.4,0.8,0.4,0.938965,,0.030803746626737672,1.0,1.0,0.45892951996461606,0.5211909770853569,0.9723806381225586
FlowWAMAdaptiveSeed1Train200,click_bell_episode000039,0.0715284689934937,0.29080572724342346,0.36673213558432494,0.07451118010851411,0.036533300167352366,0.8,1.0,1.0,0.88916,,0.020217915974695626,1.0,1.0,0.7045256707123019,0.4716453269445249,0.9723806381225586
FlowWAMAdaptiveSeed1Train200,dump_bin_bigbin_episode000019,0.8154301650822162,0.3113899528980255,0.24036960236820173,0.9324981689453125,0.2291409016389418,0.6,0.8,0.8,0.929199,,0.06775772401582132,0.9935902301093219,0.37310912028197973,0.19370922331596904,0.5874912379301432,0.9723806381225586
FlowWAMAdaptiveSeed1Train200,dump_bin_bigbin_episode000021,0.7940967794507742,0.38383978605270386,0.3088543959017153,0.8970123291015625,0.3490911699573573,0.8,1.0,1.0,0.847656,,0.21715519104209124,1.0,0.1707788711019729,0.10439653018968291,0.7198239546925133,0.9723806381225586
FlowWAMAdaptiveSeed1Train200,dump_bin_bigbin_episode000036,0.8407304093241692,0.3349372446537018,0.22642105950249566,0.9406402587890625,0.26935532881948904,0.6,0.8,0.8,0.979492,,0.07714965154114765,1.0,0.7855044793655457,0.19021276024733869,0.6063899802778168,0.9723806381225586
FlowWAMAdaptiveSeed1Train200,dump_bin_bigbin_episode000042,0.8068120066076517,0.34582850337028503,0.28556865892292543,0.93017578125,0.2692522109177494,0.8,1.0,0.4,0.91748,,0.08491908476806884,1.0,0.4127869976012141,0.20244840229842548,0.614142723519234,0.9723806381225586
FlowWAMAdaptiveSeed1Train200,dump_bin_bigbin_episode000048,0.8451884459704161,0.3344539403915405,0.3716551859584855,0.9257537841796875,0.3962683055043958,0.6,0.8,0.4,0.997559,,0.29885548673195544,1.0,0.40483184021148483,0.07062256779957851,0.7718781960398111,0.9723806381225586
FlowWAMAdaptiveSeed1Train200,handover_mic_episode000005,0.7442737137898803,0.34277793765068054,0.4938825103383005,0.899127197265625,0.39765373820120675,0.8,0.8,1.0,0.908203,,0.25035321645115693,0.9925014463756238,1.0,0.1309242694704163,0.7038619800045222,0.9723806381225586
FlowWAMAdaptiveSeed1Train200,handover_mic_episode000020,0.7910695508122444,0.3183717429637909,0.5264716725290558,0.9041961669921875,0.36326847330414547,0.8,0.8,0.6,0.88916,,0.217199137678733,0.9318826763372948,1.0,0.1313070757786219,0.717274833880581,0.9723806381225586
FlowWAMAdaptiveSeed1Train200,handover_mic_episode000024,0.7822638085111976,0.33738839626312256,0.546332911974118,0.90765380859375,0.3814789038017113,0.8,0.8,0.6,0.885742,,0.2371488581695863,0.9798480137948075,0.8612131003084152,0.1408935886136263,0.746525226322067,0.9723806381225586
FlowWAMAdaptiveSeed1Train200,handover_mic_episode000036,0.7676769943907857,0.33784782886505127,0.5142300257270719,0.889312744140625,0.3888139183288435,0.6,0.8,0.4,0.941895,,0.28134187414843026,0.9929722717739797,0.29431634601263035,0.10550348407939877,0.7185917812434345,0.9723806381225586
FlowWAMAdaptiveSeed1Train200,handover_mic_episode000039,0.7442994410172105,0.35083529353141785,0.4911769610275457,0.8944854736328125,0.4116463206882658,0.6,0.8,0.8,0.851562,,0.25663454250655826,0.9877931923920642,0.06329857541489205,0.1300777788740023,0.7111675639207082,0.9723806381225586
FlowWAMAdaptiveSeed1Train200,handover_mic_episode000040,0.7928690545260906,0.31669047474861145,0.5243313247774855,0.907794189453125,0.35601761981609154,0.6,0.8,0.6,0.841309,,0.21164853393437377,0.9821432876117928,0.34336907034806874,0.13682875656103505,0.7353720053519626,0.9723806381225586
FlowWAMAdaptiveSeed1Train200,hanging_mug_episode000016,0.8137588702142239,0.371644526720047,0.41721993246196226,0.881488037109375,0.5959285845414293,0.8,0.8,0.6,0.931641,,0.6752519271489089,0.9883817241400091,0.8631468154893034,0.023175895131157226,0.8805109841914927,0.9723806381225586
FlowWAMAdaptiveSeed1Train200,hanging_mug_episode000020,0.7993804022669793,0.3829856216907501,0.3842581889070111,0.8395111083984375,0.530079900361648,0.8,0.8,0.4,0.891113,,0.7191949849209689,0.9670768748644023,0.5883879179517306,0.024675554100716528,0.868461576230429,0.9723806381225586
FlowWAMAdaptiveSeed1Train200,hanging_mug_episode000022,0.8033068627119064,0.359432190656662,0.44219649020536445,0.872918701171875,0.5799710985445123,0.8,0.8,0.6,0.942383,,0.8358268746519109,0.985027093176723,0.8257698144612522,0.0198687896776074,0.9273187170151094,0.9723806381225586
FlowWAMAdaptiveSeed1Train200,hanging_mug_episode000028,0.8006876699626446,0.3937232792377472,0.4250850616266698,0.8872039794921875,0.5675103067648575,0.8,0.8,0.6,0.915527,,0.7096707110306717,0.9849682400019285,0.4308023694130318,0.02973889943840394,0.88534431295333,0.9723806381225586
FlowWAMAdaptiveSeed1Train200,hanging_mug_episode000029,0.8146529890596866,0.3524985611438751,0.4721410247425974,0.8942138671875,0.6151896081285759,0.6,0.8,0.4,0.907227,,0.8078375900344659,1.0,0.3869878102511382,0.0227994769137831,0.8949957100081204,0.9723806381225586
FlowWAMAdaptiveSeed1Train200,hanging_mug_episode000034,0.8073660869151353,0.3628998398780823,0.420677687327067,0.8791351318359375,0.56337453074053,0.8,0.8,0.6,0.973633,,0.8180208397780062,0.9970331408347998,0.8937925294952759,0.016261165303296285,0.9065158952461015,0.9723806381225586
FlowWAMAdaptiveSeed1Train200,lift_pot_episode000004,0.9004518546164035,0.401437371969223,0.44264846424997584,0.943621826171875,0.21254019427709228,0.4,1.0,0.4,0.816406,,0.10145864139904484,0.9990635753652098,0.265824643853723,0.21153659308308373,0.6553525215939706,0.9723806381225586
FlowWAMAdaptiveSeed1Train200,lift_pot_episode000011,0.900083526968956,0.39688611030578613,0.4526366780128008,0.9327178955078125,0.21628852877625201,0.6,1.0,0.8,0.985352,,0.10193467717325831,1.0,1.0,0.12811059443761344,0.6628889735385166,0.9723806381225586
FlowWAMAdaptiveSeed1Train200,lift_pot_episode000015,0.8938231028616428,0.41418036818504333,0.44920665175826463,0.9238006591796875,0.23676309998301157,0.6,1.0,0.6,0.968262,,0.13121374978303021,0.9893822281115155,1.0,0.15889600438095638,0.6619841977044013,0.9723806381225586
FlowWAMAdaptiveSeed1Train200,lift_pot_episode000043,0.8854170963168144,0.3977679908275604,0.44574979287606703,0.9349578857421875,0.22577188947107976,0.4,0.8,0.4,0.922852,,0.10198514948574218,1.0,0.5955353208988103,0.1843917099836145,0.6318907267913728,0.9723806381225586
FlowWAMAdaptiveSeed1Train200,lift_pot_episode000047,0.8995961669832468,0.4151952266693115,0.4442655066501947,0.9358001708984375,0.21991661068890728,0.6,1.0,0.6,0.938965,,0.0987211685012133,0.9863807161969964,0.29889362118764384,0.17627328277445972,0.6738627387288,0.9723806381225586
FlowWAMAdaptiveSeed1Train200,lift_pot_episode000048,0.9028079606592655,0.42246726155281067,0.5026734305016788,0.9249420166015625,0.21568353634140863,0.4,0.8,0.4,0.971191,,0.12715293016030843,1.0,0.32310177705977383,0.23233457235469968,0.6929661538316334,0.9723806381225586
FlowWAMAdaptiveSeed1Train200,move_can_pot_episode000002,0.09512665476772877,0.38722699880599976,0.3870814624833472,0.09422240858598047,0.09847758003900534,0.6,0.8,0.8,0.890625,,0.024089230222331684,1.0,0.7354971361433397,0.8620868011522421,0.4828077088019619,0.9723806381225586
FlowWAMAdaptiveSeed1Train200,move_can_pot_episode000003,0.9299754783511162,0.4790504276752472,0.559416709240572,0.947686767578125,0.19120216500404769,0.8,1.0,0.4,0.827637,,0.052386136518267686,1.0,1.0,0.439310284149106,0.5566667556114764,0.9723806381225586
