Model_Name,Video_ID,Subject Consistency,Aesthetic Quality,Image Quality,Background Consistency,Dynamic Degree,Interaction Quality,Perspectivity,Instruction Following,Semantic Alignment,Action Following,Flow Score,Depth Accuracy,Trajectory Accuracy,Photometric Consistency,Motion Smoothness,JEPA Similarity
FlowWAMAdaptiveSeed4Train200,click_alarmclock_episode000023,0.8968294791877269,0.48723486065864563,0.6766565709055206,0.9294525146484375,0.2774707400801416,0.6,0.8,0.4,0.995605,,0.07626152439867656,1.0,0.20830273657414206,0.42890758347875163,0.6632601252988509,0.972022533416748
FlowWAMAdaptiveSeed4Train200,click_alarmclock_episode000028,0.009628004322835254,0.3897726237773895,0.48693182862835166,0.009456267906048536,0.009881559768267392,0.2,0.8,0.2,0.792969,,0.0034280122746854122,0.9908535574813779,0.0,0.0558685308671999,0.34715500882782024,0.972022533416748
FlowWAMAdaptiveSeed4Train200,click_alarmclock_episode000035,0.9080095618963242,0.41311392188072205,0.598971257150909,0.9405731201171875,0.19452360489793027,0.6,1.0,0.4,0.981934,,0.05249082766734911,1.0,1.0,0.7041740902654885,0.6452317487497159,0.972022533416748
FlowWAMAdaptiveSeed4Train200,click_alarmclock_episode000044,0.9242265280336142,0.34448564052581787,0.43198520142355085,0.9591949462890625,0.14648343160081323,0.6,0.8,0.6,0.884277,,0.03740052718395447,0.9611915573849529,0.8276545748274343,1.0,0.5516818066944721,0.972022533416748
FlowWAMAdaptiveSeed4Train200,click_alarmclock_episode000048,0.9358293198049068,0.4926307499408722,0.6032203481226791,0.9373260498046875,0.1764491979759347,0.6,0.8,0.6,0.947754,,0.037725528871172136,0.9624863272304317,1.0,1.0,0.5721901891783494,0.972022533416748
FlowWAMAdaptiveSeed4Train200,click_bell_episode000019,0.8504770122468471,0.40670400857925415,0.5172532538425775,0.8980560302734375,0.19489596674460707,0.8,1.0,0.4,0.978027,,0.08785082643590253,1.0,0.596489939785578,0.4188726066591676,0.7018619812515867,0.972022533416748
FlowWAMAdaptiveSeed4Train200,click_bell_episode000023,0.07204372114842435,0.4048542082309723,0.3832597428781015,0.07662612713298887,0.07978636654773195,0.8,1.0,1.0,0.885254,,0.024050901016913494,1.0,0.9323934008909777,0.744377827634275,0.5146805893343718,0.972022533416748
FlowWAMAdaptiveSeed4Train200,click_bell_episode000027,0.8784972202032805,0.3972228169441223,0.5155746019622426,0.920611572265625,0.19931803834669234,0.8,1.0,1.0,0.94873,,0.06768971687060212,1.0,1.0,0.4889578043222441,0.6437911020254709,0.972022533416748
FlowWAMAdaptiveSeed4Train200,click_bell_episode000036,0.10016693985044266,0.34690117835998535,0.3557236996403447,0.10785763554096098,0.11446835045816792,0.4,0.8,0.4,0.987305,,0.041822615810982684,1.0,1.0,0.41405619770181734,0.5207310031265286,0.972022533416748
FlowWAMAdaptiveSeed4Train200,click_bell_episode000039,0.06398354852164868,0.3012479245662689,0.38802929089393146,0.06761308874081128,0.07033724008961913,0.8,1.0,1.0,0.935547,,0.019691529729652234,1.0,1.0,0.6886625889616296,0.4750468840903085,0.972022533416748
FlowWAMAdaptiveSeed4Train200,dump_bin_bigbin_episode000019,0.8086614906787872,0.2953760623931885,0.23597104143213343,0.9301788330078125,0.25336568563275497,0.6,0.8,0.6,0.940918,,0.07411531338797478,0.9964740356742521,0.2514564057375043,0.2511719953563766,0.6572257065248811,0.972022533416748
FlowWAMAdaptiveSeed4Train200,dump_bin_bigbin_episode000021,0.7880161467939615,0.38560378551483154,0.3076595025003692,0.8997222900390625,0.34620589661998874,0.8,1.0,1.0,0.933105,,0.23182663996901173,1.0,0.33744553776863956,0.12226849122910971,0.7910743675203428,0.972022533416748
FlowWAMAdaptiveSeed4Train200,dump_bin_bigbin_episode000036,0.8452367909252644,0.32702404260635376,0.21905689098216868,0.9331634521484375,0.2903392532016506,0.6,0.8,0.8,0.937988,,0.0818752152356671,1.0,0.47897390708376175,0.20612875725775165,0.6538402382453953,0.972022533416748
FlowWAMAdaptiveSeed4Train200,dump_bin_bigbin_episode000042,0.8143700130283833,0.32811641693115234,0.28192750283229495,0.927130126953125,0.265811994222334,0.8,0.8,0.4,0.977051,,0.08753182849860643,0.9977099523449364,0.501737895922064,0.23974813526993985,0.6788854781375802,0.972022533416748
FlowWAMAdaptiveSeed4Train200,dump_bin_bigbin_episode000048,0.8497274965047836,0.3485078811645508,0.3763492990423132,0.9166778564453125,0.4224459109934132,0.6,0.8,0.4,0.967285,,0.2844146674115481,1.0,0.4526606941792725,0.06775899773703412,0.8369182649211139,0.972022533416748
FlowWAMAdaptiveSeed4Train200,handover_mic_episode000005,0.7419927915558219,0.3469076454639435,0.489656206295814,0.9010345458984375,0.403795720230257,0.8,0.8,1.0,0.908691,,0.2632573800172567,0.9779058590265892,1.0,0.12834549688592006,0.7426374337727257,0.972022533416748
FlowWAMAdaptiveSeed4Train200,handover_mic_episode000020,0.7887462167069316,0.32030338048934937,0.5184647407060788,0.9121368408203125,0.3622564603028411,0.8,0.8,0.8,0.960938,,0.21501401067480028,0.9859687439734349,0.8699025799187351,0.13521678543362575,0.7443893898383181,0.972022533416748
FlowWAMAdaptiveSeed4Train200,handover_mic_episode000024,0.7817326577380299,0.3316631019115448,0.5494177523954415,0.910345458984375,0.3832382438885834,0.6,0.8,0.6,0.937012,,0.239353298682745,1.0,0.843956528124541,0.1329514191360469,0.772885513853462,0.972022533416748
FlowWAMAdaptiveSeed4Train200,handover_mic_episode000036,0.7686746982857585,0.34921586513519287,0.5138217193697706,0.8989501953125,0.39095484210848663,0.6,0.8,0.6,0.941895,,0.2831360283824248,0.9953558253531567,0.31869584373623144,0.10899084599845447,0.7567335391921605,0.972022533416748
FlowWAMAdaptiveSeed4Train200,handover_mic_episode000039,0.7433269869536161,0.35223427414894104,0.4946617646864903,0.89407958984375,0.40455958176147266,0.6,0.8,0.8,1.0,,0.256191934494233,0.979789160620013,1.0,0.12685795911119688,0.7593187319578037,0.972022533416748
FlowWAMAdaptiveSeed4Train200,handover_mic_episode000040,0.7887758675962686,0.30815038084983826,0.5232500276447815,0.9094024658203125,0.3725652581199933,0.8,0.8,0.8,0.84082,,0.21560909530354772,0.9941787618572668,0.5836393009252461,0.1384718168643316,0.7452978408164904,0.972022533416748
FlowWAMAdaptiveSeed4Train200,hanging_mug_episode000016,0.8156941670924425,0.3665810227394104,0.4264945755475833,0.8735260009765625,0.6019202867859061,0.8,0.8,0.6,0.845215,,0.7332129350956558,0.9929722717739797,0.7184363832182895,0.02398991342645436,0.8893680982576364,0.972022533416748
FlowWAMAdaptiveSeed4Train200,hanging_mug_episode000020,0.801518340408802,0.38362306356430054,0.366301704807046,0.8519866943359375,0.5674735460581445,0.8,0.8,0.4,0.90625,,0.7231682719675968,0.9824964066605597,0.7251431928330151,0.02349131503554343,0.8784606757936397,0.972022533416748
FlowWAMAdaptiveSeed4Train200,hanging_mug_episode000022,0.7980501405894757,0.3531227707862854,0.43439237618152005,0.8775482177734375,0.5978725025362875,0.8,0.8,0.6,0.952637,,0.8623345870651096,0.9953558253531567,0.3856660302540755,0.020496545551164667,0.9316159142422771,0.972022533416748
FlowWAMAdaptiveSeed4Train200,hanging_mug_episode000028,0.8046803407371044,0.39515119791030884,0.42680700655336734,0.879913330078125,0.5668442231904749,0.8,0.8,0.6,0.900879,,0.7235547387207681,0.9927957122495962,0.46139912860429827,0.030321710491053068,0.8829359513404722,0.972022533416748
FlowWAMAdaptiveSeed4Train200,hanging_mug_episode000029,0.813912158831954,0.35333749651908875,0.47410275777180994,0.8966461181640625,0.5988866428211113,0.6,0.8,0.4,0.919434,,0.8155666883143944,0.9997698134627437,0.5654770646693102,0.021058121142250953,0.8965636456948732,0.972022533416748
FlowWAMAdaptiveSeed4Train200,hanging_mug_episode000034,0.8088546626269817,0.35684752464294434,0.41894388622707796,0.8757659912109375,0.5814280067892191,0.8,0.8,0.6,0.950195,,0.811906869176686,0.9953558253531567,0.7467567435257257,0.020133631386027615,0.923981183120494,0.972022533416748
FlowWAMAdaptiveSeed4Train200,lift_pot_episode000004,0.8930766396224499,0.4039793014526367,0.44643043164853696,0.9445281982421875,0.24051875459572836,0.4,1.0,0.2,0.864746,,0.10694846973112673,0.995032132891787,0.6040779360650119,0.19452996233303735,0.730615025360113,0.972022533416748
FlowWAMAdaptiveSeed4Train200,lift_pot_episode000011,0.8972559425979852,0.39475953578948975,0.4697735153009862,0.92906494140625,0.23327548129124231,0.6,1.0,0.8,0.974609,,0.09545137509899787,1.0,0.16032701816223627,0.1529565213561765,0.7165335612468718,0.972022533416748
FlowWAMAdaptiveSeed4Train200,lift_pot_episode000015,0.8969863090664149,0.39607828855514526,0.45068092981974284,0.921136474609375,0.2589778775044823,0.6,1.0,0.8,0.903809,,0.12167715748226476,0.9804365455427525,0.6848533803299555,0.17589487821209557,0.7386029071638751,0.972022533416748
FlowWAMAdaptiveSeed4Train200,lift_pot_episode000043,0.8817246716469527,0.38946354389190674,0.43073374077125837,0.93232421875,0.2452269747498567,0.4,1.0,0.2,0.927246,,0.1062077719329649,0.9963857559120604,0.6966025358594018,0.17568394752445,0.7654890563599042,0.972022533416748
FlowWAMAdaptiveSeed4Train200,lift_pot_episode000047,0.8971711121499538,0.4102182686328888,0.4405091398733634,0.94073486328125,0.26957095512078993,0.6,0.8,0.6,0.860352,,0.12712877200918696,0.9913243828797339,0.42184363832182903,0.15288856665598524,0.7797723849010647,0.972022533416748
FlowWAMAdaptiveSeed4Train200,lift_pot_episode000048,0.9008828610181808,0.4217677712440491,0.4872549476152585,0.936767578125,0.24604018703180158,0.6,0.8,0.8,0.971191,,0.12681637662011652,1.0,0.17983551182258778,0.2377077536981141,0.7484567291814775,0.972022533416748
FlowWAMAdaptiveSeed4Train200,move_can_pot_episode000002,0.09226649258208329,0.3880588114261627,0.3870261493729956,0.09305990434311139,0.0975947482034179,0.6,0.8,0.8,0.890625,,0.024598322085462095,1.0,0.8511284084789739,0.7505500816825473,0.5019653475249741,0.972022533416748
FlowWAMAdaptiveSeed4Train200,move_can_pot_episode000003,0.9317748203873635,0.48194992542266846,0.5775170093112522,0.945391845703125,0.20066805883787012,0.8,1.0,0.4,0.827637,,0.05499677321569773,1.0,0.36030743623635386,0.4953933176886937,0.5908735033225362,0.972022533416748
FlowWAMAdaptiveSeed4Train200,move_can_pot_episode000010,0.09911438750083104,0.3952579200267792,0.4382457702542528,0.09805687325722197,0.10378352717200796,0.8,1.0,1.0,0.945801,,0.026694468668872023,1.0,0.6842414451461302,0.635261525230276,0.5224193421722471,0.972022533416748
FlowWAMAdaptiveSeed4Train200,move_can_pot_episode000037,0.9055231545120478,0.4061242640018463,0.3107000916092484,0.9468994140625,0.17983276519245234,0.6,0.8,0.6,0.896484,,0.054268216921456384,1.0,0.8420472903510061,0.33793462980020056,0.5984431120913769,0.972022533416748
FlowWAMAdaptiveSeed4Train200,move_can_pot_episode000043,0.10453722494354954,0.3950713276863098,0.3895358841507523,0.10487385098393028,0.11112568833906537,0.8,1.0,1.0,0.913086,,0.026471013773626716,1.0,1.0,0.7143024080794023,0.5041410698726622,0.972022533416748
FlowWAMAdaptiveSeed4Train200,move_can_pot_episode000044,0.11269589617947912,0.45550376176834106,0.5602359131236135,0.11179756324852917,0.11807383928833708,0.8,1.0,1.0,0.970215,,0.030894250666494805,1.0,0.8806236843393547,0.7105238283215649,0.5089325714639616,0.972022533416748
FlowWAMAdaptiveSeed4Train200,move_pillbottle_pad_episode000002,0.879165655747056,0.399259090423584,0.5031661092499156,0.942852783203125,0.2526533719644634,0.8,1.0,1.0,0.896484,,0.08168183142538545,1.0,0.5071963577617858,0.34789471107320097,0.7192809242841294,0.972022533416748
FlowWAMAdaptiveSeed4Train200,move_pillbottle_pad_episode000022,0.885847520455718,0.38311767578125,0.5002813631222572,0.9448822021484375,0.16805069183613336,0.8,1.0,1.0,0.787109,,0.050184591652054564,1.0,0.1785871640475841,0.4972797805992639,0.5920510489681479,0.972022533416748
FlowWAMAdaptiveSeed4Train200,move_pillbottle_pad_episode000023,0.906322092935443,0.4097713828086853,0.5235757366227515,0.9197265625,0.2276430245056662,0.8,1.0,1.0,0.953125,,0.07244002436456536,1.0,1.0,0.3521134500747908,0.6607465024370561,0.972022533416748
FlowWAMAdaptiveSeed4Train200,move_pillbottle_pad_episode000025,0.9158529121428728,0.3523101806640625,0.46294005970896024,0.9493438720703125,0.14027693981514533,0.8,1.0,1.0,0.887207,,0.03694471181977261,1.0,1.0,0.390846357398119,0.5738607699867534,0.972022533416748
FlowWAMAdaptiveSeed4Train200,move_pillbottle_pad_episode000043,0.8162559662014246,0.4564618766307831,0.5733557204258295,0.895068359375,0.3259337056796925,0.8,1.0,0.6,0.890625,,0.19793645617101893,1.0,0.5011749155529447,0.23227128052637747,0.7792740465100724,0.972022533416748
FlowWAMAdaptiveSeed4Train200,move_pillbottle_pad_episode000047,0.8264839340001344,0.40897083282470703,0.6026352964801552,0.9107513427734375,0.3412233829839151,0.8,1.0,1.0,0.852539,,0.1584572276929353,1.0,0.37144465658197484,0.20537386650618006,0.7239736030717139,0.972022533416748
FlowWAMAdaptiveSeed4Train200,move_playingcard_away_episode000003,0.8053004272282124,0.37898293137550354,0.3755669598520538,0.8857635498046875,0.35569781608516876,0.8,1.0,1.0,0.924316,,0.2919554612633629,1.0,0.42928477015714495,0.12574254806243673,0.8208092396755128,0.972022533416748
FlowWAMAdaptiveSeed4Train200,move_playingcard_away_episode000008,0.8817511387169361,0.3842172920703888,0.4615164019737715,0.9182159423828125,0.24922312001366995,0.6,0.8,0.4,0.95752,,0.11404155301618951,1.0,0.37401478435404123,0.20862922274284645,0.7749995513274642,0.972022533416748
